,name,position,annual_salary,season
530,Gilbert Arenas,PG,17730694.0,2011.0
531,Kobe Bryant,SF,17718750.0,2007.0
532,Yao Ming,C,17686100.0,2011.0
533,Blake Griffin,PF,17674613.0,2015.0
534,Zach Randolph,PF,17666666.0,2011.0
535,Derrick Favors,PF,17650000.0,2020.0
536,Kawhi Leonard,SF,17638063.0,2017.0
537,Kyrie Irving,PG,17638063.0,2017.0
538,Derrick Rose,PG,17632688.0,2013.0
539,Derrick Rose,PG,17632688.0,2014.0
540,Jimmy Butler,SF,17552209.0,2017.0
541,LeBron James,SF,17545000.0,2012.0
542,Chris Bosh,PF,17545000.0,2012.0
543,Allan Houston,SG,17531000.0,2005.0
544,Vince Carter,SG,17522375.0,2011.0
545,Gary Trent Jr.,SG,17505000.0,2023.0
546,Caris LeVert,SG,17500000.0,2022.0
547,Tristan Thompson,C,17469565.0,2018.0
548,Draymond Green,PF,17469565.0,2018.0
549,Draymond Green,PF,17469565.0,2019.0
550,Tristan Thompson,C,17469565.0,2019.0
551,Tim Duncan,C,17429673.0,2007.0
552,Jonathan Isaac,PF,17400000.0,2022.0
553,Jonathan Isaac,PF,17400000.0,2023.0
554,Joe Harris,SF,17357143.0,2022.0
555,O.G. Anunoby,SF,17357143.0,2023.0
556,Chris Webber,C,17351000.0,2005.0
557,Tim Hardaway Jr.,SF,17325000.0,2018.0
558,Dirk Nowitzki,PF,17278618.0,2011.0
559,Marcus Smart,PG,17207141.0,2023.0
560,Tobias Harris,PF,17200000.0,2017.0
561,Luol Deng,PF,17190000.0,2018.0
562,Andre Iguodala,PF,17185185.0,2020.0
563,Stephon Marbury,PG,17184375.0,2007.0
564,Allen Iverson,SG,17184375.0,2007.0
565,Deron Williams,PG,17177795.0,2013.0
566,Evan Fournier,SG,17150000.0,2019.0
567,Evan Fournier,SG,17150000.0,2020.0
